uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
2eac972d-9320-4570-b933-1435599d6885,,,Asthma health history,Asthme Historique de santé,Asthma,Asthme,,,Misc,Boolean,,,,,,,,,,,
a4a00e85-7def-4714-879c-9628046c8b64,,,Type 1 diabetes health history,Diabète de type 1 Historique de santé,Type 1 diabetes,Diabète de type 1,,,Misc,Boolean,,,,,,,,,,,
86f627cd-5b16-4b55-bb46-dbd06a0e50c3,,,Type 2 diabetes health history,Diabète de type 2 Historique de santé,Type 2 diabetes,Diabète de type 2,,,Misc,Boolean,,,,,,,,,,,
7bea424e-ffe5-4482-8a16-4e594eb1832d,,,Hypertension health history,Hypertension Historique de santé,Hypertension,Hypertension,,,Misc,Boolean,,,,,,,,,,,
e7ea5fff-0b4f-4f5e-8e47-ad9ea360589c,,,TB health history,TB Historique de santé,TB,TB,,,Misc,Boolean,,,,,,,,,,,
04705a3b-c4a7-4e14-a4cf-7278293afd83,,,HIV health history,VIH Historique de santé,HIV,VIH,,,Misc,Boolean,,,,,,,,,,,
683fe516-de46-42d5-909c-22c89b329a58,,,Syphilis health history,Syphilis Historique de santé,Syphilis,Syphilis,,,Misc,Boolean,,,,,,,,,,,
8f033c3d-e21a-4090-8150-dd82646bcb62,,,Sickle cell anemia,Anémie falciforme,Sickle cell anemia,Anémie falciforme,,,Misc,Boolean,,,,,,,,,,,
bcc89455-13d6-44f5-ad2f-bad32c2dd7c6,,,Number of Days,Nombre de jours,Number of Days,Nombre de jours,,,Misc,Numeric,,,,,,,,,,,
c03b8aa5-9a97-4e05-b717-84e6b2380894,,,Reason,Raison,Reason,Raison,,,Misc,Text,,,,,,,,,,,
276cccb6-0c0b-4f84-8947-298aceea5e62,,,Hospitals,Hôpitaux,Hospitals,Hôpitaux,,,Misc,Coded,,St Jean Limbe Hospital;Good Samaritan Limbe Hospital;Justinien Cap Haitien Hospital;Sacred Heart Milot Hospital;HBCH Hospital;Gable Hospital;Borgne Hospital;Trou du Nord Hospital;Other,,,,,,,,,
c7a45d8f-3032-4499-92d2-5c4e13f1f824,,,Past Admission History,Antécédents d'admission,Past Admission History,Antécédents d'admission,,,ConvSet,N/A,,,Date;Number of Days;Reason;Hospitals,,,,,,,,
f891f12b-9947-4cc4-aa97-b6ba47567a58,,,Allergies health history,Allergies Historique de santé,Allergies,Allergies,,,Misc,Text,,,,,,,,,,,
61ac6631-a248-4dae-bd32-33520d26c04d,,,Tobacco use,Utilisation de tabac,Tobacco use,Utilisation de tabac,,,Misc,Boolean,,,,,,,,,,,
16a035ea-acf0-4e54-9c63-ffd126aaa3f7,,,Use of alcohol,Utilisation d'alcool,Use of alcohol,Utilisation d'alcool,,,Misc,Boolean,,,,,,,,,,,
7d2e95f9-1368-4ef9-b65e-224aba05e5d3,,,Drug use,Utilisation de drogues,Drug use,Utilisation de drogues,,,Misc,Boolean,,,,,,,,,,,
